SupplyPort 1	Port pressure 31
Elapsed	Pressure	Rate
6	30.0875	0.00164334	55.5544
6.01	30.0948	0.00163047	55.5544
6.02	30.102	0.00161769	55.5544
6.03	30.1091	0.00160501	55.5544
6.04	30.1162	0.00159243	55.5544
6.05	30.1233	0.00157995	55.5544
6.06	30.1303	0.00156755	55.5544
6.07	30.1372	0.00155526	55.5544
6.08	30.1441	0.00154305	55.5544
6.09	30.1509	0.00153094	55.5544
6.1	30.1577	0.00151892	55.5544
6.11	30.1644	0.00150699	55.5544
6.12	30.171	0.00149516	55.5544
6.13	30.1777	0.00148341	55.5544
6.14	30.1842	0.00147175	55.5544
6.15	30.1907	0.00146018	55.5544
6.16	30.1972	0.0014487	55.5544
6.17	30.2036	0.00143731	55.5544
6.18	30.2099	0.001426	55.5544
6.19	30.2162	0.00141478	55.5544
6.2	30.2225	0.00140365	55.5544
6.21	30.2287	0.0013926	55.5544
6.22	30.2349	0.00138164	55.5544
6.23	30.241	0.00137076	55.5544
6.24	30.247	0.00135996	55.5544
6.25	30.253	0.00134925	55.5544
6.26	30.259	0.00133861	55.5544
6.27	30.2649	0.00132806	55.5544
6.28	30.2708	0.00131759	55.5544
6.29	30.2766	0.0013072	55.5544
6.3	30.2824	0.00129689	55.5544
6.31	30.2881	0.00128666	55.5544
6.32	30.2938	0.00127651	55.5544
6.33	30.2995	0.00126644	55.5544
6.34	30.3051	0.00125644	55.5544
6.35	30.3106	0.00124652	55.5544
6.36	30.3161	0.00123668	55.5544
6.37	30.3216	0.00122691	55.5544
6.38	30.327	0.00121722	55.5544
6.39	30.3324	0.0012076	55.5544
6.4	30.3377	0.00119806	55.5544
6.41	30.343	0.00118859	55.5544
6.42	30.3483	0.00117919	55.5544
6.43	30.3535	0.00116987	55.5544
6.44	30.3587	0.00116062	55.5544
6.45	30.3638	0.00115144	55.5544
6.46	30.3689	0.00114233	55.5544
6.47	30.374	0.00113329	55.5544
6.48	30.379	0.00112432	55.5544
6.49	30.3839	0.00111542	55.5544
6.5	30.3889	0.00110659	55.5544
6.51	30.3938	0.00109782	55.5544
6.52	30.3986	0.00108913	55.5544
6.53	30.4034	0.0010805	55.5544
6.54	30.4082	0.00107194	55.5544
6.55	30.4129	0.00106345	55.5544
6.56	30.4176	0.00105502	55.5544
6.57	30.4223	0.00104666	55.5544
6.58	30.4269	0.00103836	55.5544
6.59	30.4315	0.00103012	55.5544
6.6	30.4361	0.00102196	55.5544
6.61	30.4406	0.00101385	55.5544
6.62	30.4451	0.00100581	55.5544
6.63	30.4495	0.000997825	55.5544
6.64	30.4539	0.000989907	55.5544
6.65	30.4583	0.00098205	55.5544
6.66	30.4627	0.000974254	55.5544
6.67	30.467	0.000966519	55.5544
6.68	30.4712	0.000958844	55.5544
6.69	30.4755	0.000951229	55.5544
6.7	30.4797	0.000943673	55.5544
6.71	30.4838	0.000936176	55.5544
6.72	30.488	0.000928738	55.5544
6.73	30.4921	0.000921357	55.5544
6.74	30.4962	0.000914035	55.5544
6.75	30.5002	0.000906769	55.5544
6.76	30.5042	0.00089956	55.5544
6.77	30.5082	0.000892407	55.5544
6.78	30.5121	0.000885311	55.5544
6.79	30.5161	0.000878269	55.5544
6.8	30.5199	0.000871283	55.5544
6.81	30.5238	0.000864351	55.5544
6.82	30.5276	0.000857474	55.5544
6.83	30.5314	0.00085065	55.5544
6.84	30.5352	0.00084388	55.5544
6.85	30.5389	0.000837163	55.5544
6.86	30.5426	0.000830498	55.5544
6.87	30.5463	0.000823886	55.5544
6.88	30.5499	0.000817325	55.5544
6.89	30.5535	0.000810815	55.5544
6.9	30.5571	0.000804357	55.5544
6.91	30.5607	0.00079795	55.5544
6.92	30.5642	0.000791592	55.5544
